AAPL_x,AAPL_y
21-Oct-14,102.1754914
22-Oct-14,101.991238
23-Oct-14,103.2261528
24-Oct-14,104.3103307
27-Oct-14,103.982152
28-Oct-14,104.5310474
29-Oct-14,105.7756568
30-Oct-14,106.0801645
31-Oct-14,107.1199176
3-Nov-14,107.3297075
4-Nov-14,108.4637716
5-Nov-14,108.1980158
6-Nov-14,108.1703956
7-Nov-14,108.3210256
10-Nov-14,108.5892493
11-Nov-14,108.2739198
12-Nov-14,108.947396
13-Nov-14,111.363978
14-Nov-14,112.7040594
17-Nov-14,113.8188946
18-Nov-14,113.4959626
19-Nov-14,114.9869783
20-Nov-14,114.4555369
21-Nov-14,117.0458925
24-Nov-14,116.3870522
25-Nov-14,118.60425
26-Nov-14,117.4741866
28-Nov-14,118.7986564
1-Dec-14,118.3453741
2-Dec-14,113.054436
3-Dec-14,115.2907142
4-Dec-14,115.318909
5-Dec-14,115.5361261
8-Dec-14,113.6533452
9-Dec-14,109.7554968
10-Dec-14,113.9603314
11-Dec-14,111.8174772
12-Dec-14,110.0271393
